equation_id,monograph_location,equation_or_object,meaning,primary_scripts,persistent_tables_or_inputs,reports
EQ-00,Theoretical baseline,"Y=Y0 N^beta; log Y=alpha+beta log N","Canonical Bettencourt-style city scaling law","scripts/run_independent_city_baseline.py;scripts/run_city_y_fitability_audit.py","raw.population_units;raw.denue_establishments","reports/independent-city-baseline-report-*;reports/city-y-fitability-audit-*"
EQ-01,Canonical deviations,"SAMI_i=log Y_i-alpha-beta log N_i","Size-adjusted city residual","scripts/run_city_y_sami_comparison_pack.py;scripts/run_city_map_pack.py;scripts/run_city_state_map_pack.py","raw.population_units;raw.denue_establishments;municipal geometries","reports/city-y-sami-comparison-pack-*;reports/city-map-pack-*;reports/city-state-map-pack-*"
EQ-02,Supports and indices,"Y_i=sum y_u; N_i=sum n_u","Aggregation from fine support to city support","scripts/load_population_units.py;scripts/load_denue_bulk.py;scripts/run_independent_city_baseline.py","raw.population_units;raw.denue_establishments","reports/independent-city-baseline-report-*"
EQ-03,Support variables,"rho=N/A; D/A; E/A","Density variables for single-predictor and dimensional critique branches","scripts/run_city_only_single_predictor_power_laws.py;scripts/run_single_predictor_power_laws.py","raw.population_units;municipal geometries;derived.city_network_geoms","reports/city-only-single-predictor-power-laws-*;reports/single-predictor-power-laws-*"
EQ-04,Network metrics,"b=B/P; j=J/A; s=S/A; k=K/n","Intensive network variables","scripts/extract_city_osm_networks_to_db.py;scripts/load_city_network_metrics.py;scripts/run_city_connectivity_power_laws.py","derived.city_network_geoms;derived.city_network_metrics;derived.city_network_nodes;derived.city_network_edges","reports/city-connectivity-power-laws-*;reports/city-network-gallery-*"
EQ-05,Phase I,"log E_i=alpha+beta log N_i+epsilon_i","First national establishment law","scripts/run_independent_city_baseline.py;scripts/generate_phase1_explanatory_graphics.py","raw.population_units(city);raw.denue_establishments","reports/independent-city-baseline-report-*;docs/PHASE1_VISUAL_GUIDE.md"
EQ-06,Phase I,"log Y_i^(f,c)=alpha_(f,c)+beta_(f,c) log N_i+epsilon_i^(f,c)","Outcome catalog law","scripts/run_city_y_fitability_audit.py;scripts/run_city_y_curated_results_pack.py;scripts/run_city_grouped_profiles.py;scripts/generate_phase1_explanatory_graphics.py","raw.population_units(city);raw.denue_establishments","reports/city-y-fitability-audit-*;reports/city-y-curated-results-pack-*;reports/city-grouped-fit-profiles-*;docs/PHASE1_VISUAL_GUIDE.md"
EQ-07,Phase I,"F_(f,c)=(n,coverage,zero_rate,R2,family support)","Fitability and curation rule","scripts/run_city_y_fitability_audit.py;scripts/run_city_y_curated_results_pack.py;scripts/generate_phase1_explanatory_graphics.py","raw.denue_establishments;fitted outcome summaries","reports/city-y-fitability-audit-*;reports/city-y-curated-results-pack-*;docs/PHASE1_VISUAL_GUIDE.md"
EQ-08,Phase II,"Yhat_i=exp(alpha+beta log N_i)","Expected count under fitted city law","scripts/run_city_y_sami_comparison_pack.py;scripts/run_city_map_pack.py","fitted city-law outputs;raw.population_units","reports/city-y-sami-comparison-pack-*;reports/city-map-pack-*"
EQ-09,Phase II,"SAMI_i^(Y)=log(Y_i/Yhat_i)","Category-specific residual field","scripts/run_city_y_sami_comparison_pack.py;scripts/run_city_state_map_pack.py","fitted city-by-Y residual tables","reports/city-y-sami-comparison-pack-*;reports/city-state-map-pack-*"
EQ-10,Phase II,"z_i^(Y)=SAMI_i^(Y)/sigma_epsilon,Y","Standardized residual","scripts/run_city_y_sami_comparison_pack.py","fitted residual matrix","reports/city-y-sami-comparison-pack-*"
EQ-11,Phase II,"u_i != u_i*","Support mismatch between municipality and built city","scripts/run_city_map_pack.py;scripts/render_city_network_ageb_denue_overlay.py;scripts/render_city_network_gallery.py","municipal geometries;derived.city_network_geoms;AGEB and DENUE layers","reports/city-overlay-*;reports/city-network-gallery-*"
EQ-12,Phase III,"log Y_a=alpha+beta log N_a+epsilon_a","First intra-urban AGEB law","scripts/run_single_city_ageb_experiment.py;scripts/run_ageb_city_native_experiments.py;scripts/run_ageb_fitability_audit.py","raw.population_units(ageb_u);raw.admin_units(ageb_u);raw.denue_establishments","reports/ageb-one-city-*;reports/ageb-city-native-experiments-*;reports/ageb-fitability-audit-*"
EQ-13,Phase IV,"Var(log Y)=Var(E[log Y|band])+E[Var(log Y|band)]","Between versus within support decomposition","scripts/run_independent_ageb_baseline.py;scripts/run_scale_breakdown_case_study.py","AGEB counts and population","reports/city-vs-ageb-breakdown-*;reports/scale-breakdown-*"
EQ-14,Phase IV,"M0..M3 centrality extensions","Distance-to-center/centrality extensions of AGEB law","scripts/run_ageb_centrality_extension_case.py;scripts/run_ageb_centrality_extensions_usable.py","AGEB support;DENUE counts;center-distance fields","reports/ageb-centrality-extension-*;reports/ageb-centrality-extensions-usable-*"
EQ-15,Phase V,"S subset A_i; log Y_a=alpha_S+beta_S log N_a+epsilon_a","Lawful AGEB subset search","scripts/run_ageb_subset_search.py;scripts/run_ageb_unconstrained_subset_search.py;scripts/run_ageb_subset_discovery.py","AGEB unit tables;DENUE counts","reports/ageb-subset-search-*;reports/ageb-unconstrained-subset-search-*;reports/ageb-subset-discovery-*"
EQ-16,Phase V,"Consensus membership/explanatory models","Explains discovered lawful AGEB core","scripts/run_ageb_consensus_comparison.py;scripts/run_ageb_consensus_explanatory_models.py","AGEB subset labels and explanatory variables","reports/ageb-consensus-comparison-*;reports/ageb-consensus-explanatory-models-*"
